id;machine_no;employee_machine_id;attendance_date_time;remarks
1;Creative gold;quantifying Canadian Dollar;2021-01-07T17:18:04;productize directional
2;withdrawal circuit;enterprise Expanded;2021-01-07T11:01:53;local area network productize pixel
3;calculate;model 24 hour Ball;2021-01-07T19:20:05;Greenland
4;world-class conglomeration Small;IB Facilitator;2021-01-07T14:51:35;Principal Manor
5;Brand;help-desk;2021-01-08T04:28:11;digital
6;Djibouti Franc Personal Loan Account;Division Afghanistan;2021-01-08T05:40:42;Brazilian Real New York
7;hard drive Shirt back up;Shirt Toys;2021-01-07T22:22:45;SDD Shores connect
8;Checking Account Practical Soft Shoes applications;Brazilian Real;2021-01-07T18:07:52;transform Greenland
9;matrix Architect;Music Knolls;2021-01-07T12:54:22;International Ergonomic Steel Car
10;e-tailers Sleek;systemic;2021-01-07T13:12:59;invoice parse
