id;from_date;to_date;start_time;end_time;status
1;2021-07-17;2021-07-16;2021-07-17T09:54:55;2021-07-16T20:13:01;PROCESSING
2;2021-07-16;2021-07-17;2021-07-17T06:03:33;2021-07-17T02:37:02;PROCESSING
3;2021-07-17;2021-07-17;2021-07-17T05:59:16;2021-07-17T11:47:26;SUCCESS
4;2021-07-16;2021-07-16;2021-07-17T00:44:59;2021-07-16T19:18:02;SUCCESS
5;2021-07-16;2021-07-17;2021-07-17T03:56:44;2021-07-16T14:23:37;FAILED
6;2021-07-16;2021-07-17;2021-07-17T02:58:58;2021-07-16T19:05:49;FAILED
7;2021-07-17;2021-07-17;2021-07-17T03:46:04;2021-07-17T14:05:27;PROCESSING
8;2021-07-17;2021-07-16;2021-07-17T10:22:42;2021-07-16T19:43:41;FAILED
9;2021-07-16;2021-07-16;2021-07-17T08:55:24;2021-07-17T10:22:46;SUCCESS
10;2021-07-16;2021-07-17;2021-07-16T16:22:55;2021-07-16T17:43:50;FAILED
