id;jhi_from;jhi_to;total_days;reason;attachment;attachment_content_type;status;applied_by;applied_on;action_taken_by;action_taken_on;employee_id;leave_type_id
1;2020-12-25;2020-12-25;76415;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;ACCEPTED;withdrawal Corporate e-markets;2020-12-25T12:00:24;Ball Money Market Account Functionality;2020-12-25T04:53:04;1;1
2;2020-12-25;2020-12-25;20388;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;REJECTED;Jewelery Kansas;2020-12-25T13:43:40;Buckinghamshire application;2020-12-25T14:21:17;2;2
3;2020-12-25;2020-12-25;64143;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;PENDING;South Carolina;2020-12-26T03:35:57;Planner;2020-12-25T23:23:36;3;3
4;2020-12-25;2020-12-25;73321;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;PENDING;interface;2020-12-25T09:28:54;Malaysia quantify;2020-12-25T22:28:16;4;4
5;2020-12-25;2020-12-25;1696;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;REJECTED;Steel payment Estates;2020-12-25T14:06:57;SMTP Point;2020-12-25T23:18:07;5;5
6;2020-12-25;2020-12-25;93447;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;ACCEPTED;Bedfordshire robust;2020-12-26T03:34:56;Dynamic Berkshire programming;2020-12-25T09:34:08;6;6
7;2020-12-25;2020-12-25;91717;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;REJECTED;Assistant mobile payment;2020-12-25T06:18:10;e-markets human-resource;2020-12-25T23:52:24;7;7
8;2020-12-25;2020-12-25;50024;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;REJECTED;calculate;2020-12-25T08:40:48;matrix;2020-12-25T15:50:18;8;8
9;2020-12-25;2020-12-26;71017;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;PENDING;Intelligent Granite Tuna Washington;2020-12-25T18:18:44;gold e-tailers;2020-12-25T22:01:02;9;9
10;2020-12-25;2020-12-25;48170;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;ACCEPTED;convergence Latvian Lats;2020-12-25T18:27:10;Liaison;2020-12-25T22:33:56;10;10
