id;total_days;remaining_days;jhi_from;jhi_to;remarks;last_synchronized_on;status;assessment_year;amount;employee_id;leave_type_id
1;81759;12528;2021-07-27;2021-07-26;invoice paradigms;2021-07-26T19:22:28;ACTIVE;83982;47638;1;1
2;98448;26390;2021-07-27;2021-07-27;Handcrafted Falkland Islands (Malvinas);2021-07-27T09:23:19;INACTIVE;79368;31545;2;2
3;5083;95728;2021-07-27;2021-07-26;neural;2021-07-27T08:39:42;ACTIVE;6921;12239;3;3
4;7873;92850;2021-07-26;2021-07-27;Executive Bedfordshire;2021-07-26T21:23:35;INACTIVE;23239;87994;4;4
5;28829;64233;2021-07-27;2021-07-27;bypass;2021-07-26T23:26:36;INACTIVE;76400;90826;5;5
6;89170;51878;2021-07-27;2021-07-27;Dominican Peso;2021-07-27T01:29:57;ACTIVE;14064;34550;6;6
7;17977;41627;2021-07-27;2021-07-26;plum District SSL;2021-07-26T20:17:46;INACTIVE;83023;4436;7;7
8;67230;76586;2021-07-27;2021-07-26;calculating Chips action-items;2021-07-26T22:44:17;INACTIVE;48779;79528;8;8
9;20960;25906;2021-07-27;2021-07-27;program bypass Small Soft Pants;2021-07-27T10:48:27;INACTIVE;46531;13027;9;9
10;14895;66883;2021-07-27;2021-07-26;Haiti;2021-07-27T07:46:18;ACTIVE;87397;400;10;10
