id;name;total_days;start_date;end_date;status
1;MEDICAL_LEAVE;83773;2020-12-25;2020-12-25;INACTIVE
2;CASUAL_LEAVE;84597;2020-12-25;2020-12-26;INACTIVE
3;DUTY_LEAVE;96361;2020-12-25;2020-12-25;ACTIVE
4;MEDICAL_LEAVE;54705;2020-12-25;2020-12-25;INACTIVE
5;MATERNITY_LEAVE;24370;2020-12-25;2020-12-25;ACTIVE
6;EARNED_LEAVE;62830;2020-12-25;2020-12-26;INACTIVE
7;CASUAL_LEAVE;25054;2020-12-25;2020-12-26;INACTIVE
8;EARNED_LEAVE;37729;2020-12-25;2020-12-25;INACTIVE
9;CASUAL_LEAVE;25810;2020-12-25;2020-12-26;ACTIVE
10;CASUAL_LEAVE;99224;2020-12-25;2020-12-25;INACTIVE
