id;in_time;out_time;total_hours;working_hours;overtime;attendance_type;attendance_status;remarks;attendance_date
1;2021-07-13T17:40:25;2021-07-14T02:56:29;58149;12119;7958;LEAVE;ABSENT;Codes specifically reserved for testing purposes array XML;2021-07-14
2;2021-07-13T20:58:49;2021-07-14T00:34:14;90203;45806;8867;WEEKEND;NOT_APPLICABLE;networks Bike relationships;2021-07-13
3;2021-07-13T22:17:57;2021-07-14T08:27:07;72290;20706;25555;LEAVE;ABSENT;synergies Branding;2021-07-14
4;2021-07-14T04:30:40;2021-07-14T13:59:05;28139;63242;95710;WEEKDAY;NOT_APPLICABLE;Slovakia (Slovak Republic) Bypass;2021-07-14
5;2021-07-14T00:12:53;2021-07-13T23:05:23;9703;9617;80715;WEEKDAY;ABSENT;Home Loan Account;2021-07-14
6;2021-07-13T15:59:51;2021-07-14T13:00:42;88977;54374;71437;WEEKDAY;PRESENT;back-end Generic Steel Bike Ergonomic Steel Towels;2021-07-14
7;2021-07-14T07:51:03;2021-07-13T16:55:28;26469;17480;34303;WEEKDAY;PRESENT;withdrawal;2021-07-14
8;2021-07-14T06:43:26;2021-07-14T04:19:46;63308;34735;86705;HOLIDAY;NOT_APPLICABLE;New Mexico;2021-07-13
9;2021-07-14T11:50:24;2021-07-13T17:30:50;39552;79312;6163;WEEKEND;PRESENT;neural Iowa;2021-07-13
10;2021-07-14T05:14:00;2021-07-14T00:10:31;26064;29284;45409;HOLIDAY;PRESENT;Markets;2021-07-14
