id;day;status;start_date;end_date;remarks
1;SATURDAY;ACTIVE;2020-12-25;2020-12-25;El Salvador Colon US Dollar matrix
2;THURSDAY;ACTIVE;2020-12-25;2020-12-25;capacitor
3;FRIDAY;ACTIVE;2020-12-25;2020-12-25;Senior approach Parks
4;SUNDAY;ACTIVE;2020-12-25;2020-12-25;Principal
5;WEDNESDAY;ACTIVE;2020-12-26;2020-12-25;sensor HDD
6;SUNDAY;INACTIVE;2020-12-25;2020-12-26;Auto Loan Account Berkshire programming
7;THURSDAY;ACTIVE;2020-12-25;2020-12-25;AGP approach
8;SUNDAY;INACTIVE;2020-12-25;2020-12-25;Planner
9;MONDAY;INACTIVE;2020-12-25;2020-12-25;Spurs structure
10;TUESDAY;INACTIVE;2020-12-25;2020-12-25;Directives
